name,isin,symbol,market
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris
2CRSI,FR0013341781,2CRSI,Euronext Paris
2MX ORGANIC,FR0014000T90,2MX,Euronext Paris
2MX ORGANIC BS,FR0014000TB2,2MXBS,Euronext Paris
5TH PLANET GAMES,DK0060945467,5PG,Euronext Expand Oslo
A TOUTE VITESSE,FR0010050773,MLATV,Euronext Access Paris
A.S.T. GROUPE,FR0000076887,ASP,Euronext Paris
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam
AASEN SPAREBANK,NO0010672181,AASB,Euronext Growth Oslo
AB INBEV,BE0974293251,ABI,Euronext Brussels
AB SCIENCE,FR0010557264,AB,Euronext Paris
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris
ABEO,FR0013185857,ABEO,Euronext Paris
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris
ABIVAX,FR0012333284,ABVX,Euronext Paris
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam
ABO GROUP,BE0974278104,ABO,Euronext Brussels
ACACIA PHARMA,GB00BYWF9Y76,ACPH,Euronext Brussels
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris
ACCELL GROUP,NL0009767532,ACCEL,Euronext Amsterdam
ACCENTIS,BE0003696102,ACCB,Euronext Brussels
ACCOR,FR0000120404,AC,Euronext Paris
ACCOR AC SHARES,FR0014003PZ3,AAC,Euronext Paris
ACCOR AC WARRANTS,FR0014003QK3,AACW,Euronext Paris
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam
ACHETER-LOUER.FR,FR0010493510,ALALO,Euronext Growth Paris
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels
ACTEOS,FR0000076861,EOS,Euronext Paris
ACTIA GROUP,FR0000076655,ATI,Euronext Paris
ACTICOR BIOTECH,FR0014005OJ5,ALACT,Euronext Growth Paris
ACTIVIUM GROUP,FR0010979377,MLACT,Euronext Access Paris
ADA,FR0000053076,ALADA,Euronext Growth Paris
ADC SIIC,BE0974269012,ALDV,Euronext Paris
ADEUNIS,FR0013284627,ALARF,Euronext Growth Paris
ADOCIA,FR0011184241,ADOC,Euronext Paris
ADOMOS,FR0013247244,ALADO,Euronext Growth Paris
ADP,FR0010340141,ADP,Euronext Paris
ADS MARITIME HOLD,CY0108052115,ADS,Euronext Growth Oslo
ADTHINK,FR0010457531,ALADM,Euronext Growth Paris
ADUX,FR0012821890,ADUX,Euronext Paris
ADVENIS,FR0004152874,ALADV,Euronext Growth Paris
ADVICENNE,FR0013296746,ADVIC,Euronext Paris
ADVINI,FR0000053043,ADVI,Euronext Paris
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam
AEDIFICA,BE0003851681,AED,Euronext Brussels
AEGA,NO0010626559,AEGA,Euronext Expand Oslo
AEGON,NL0000303709,AGN,Euronext Amsterdam
AERKOMM INC,US00774B2088,AKOM,Euronext Paris
AFFLUENT MEDICAL,FR0013333077,AFME,Euronext Paris
AFYREN,FR0014005AC9,ALAFY,Euronext Growth Paris
AG3I,FR0011908045,MLAGI,Euronext Access Paris
AGEAS,BE0974264930,AGS,Euronext Brussels
AGENCE AUTO,FR0014005WE9,MLAA,Euronext Access Paris
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels
AGILYX,NO0010872468,AGLX,Euronext Growth Oslo
AGP MALAGA SOCIMI,ES0105478004,MLAGP,Euronext Access Paris
AGRIPOWER,FR0013452281,ALAGP,Euronext Growth Paris
AGROGENERATION,FR0010641449,ALAGR,Euronext Growth Paris
AGUAS DA CURIA,PTCUR0AP0000,CUR,Euronext Access Lisbon
AHOLD DEL,NL0011794037,AD,Euronext Amsterdam
AIB GROUP PLC,IE00BF0L3536,A5G,Euronext Dublin
AIR FRANCE -KLM,FR0000031122,AF,Euronext Paris
AIR LIQUIDE,FR0000120073,AI,Euronext Paris
AIR MARINE,FR0013285103,MLAIM,Euronext Access Paris
AIRBUS,NL0000235190,AIR,Euronext Paris
AIRTHINGS,NO0010895568,AIRX,Euronext Growth Oslo
AIRTIME,IT0005450819,ALAIR,Euronext Growth Paris
AIRWELL,FR0014003V77,MLAIR,Euronext Access Paris
AJAX,NL0000018034,AJAX,Euronext Amsterdam
AKER CLEAN HYDROGE,NO0010936081,ACH,Euronext Growth Oslo
AKER OFFSHORE WIND,NO0010890312,AOW,Euronext Growth Oslo
AKKA TECHNOLOGIES,FR0004180537,AKA,Euronext Paris
AKOBO MINERALS,SE0015193412,AKOBO,Euronext Growth Oslo
AKWEL,FR0000053027,AKW,Euronext Paris
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam
ALAN ALLMAN,FR0000062465,AAA,Euronext Paris
ALBIOMA,FR0000060402,ABIO,Euronext Paris
ALBIOMA BSAAR 2018,FR0013368438,ABIBS,Euronext Growth Paris
ALCHIMIE,FR0014000JX7,ALCHI,Euronext Growth Paris
ALD,FR0013258662,ALD,Euronext Paris
ALEPH FINANCE,GB00BJ9M4V82,MLALE,Euronext Access Paris
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam
ALLFUNDS GROUP,GB00BNTJ3546,ALLFG,Euronext Amsterdam
ALMUNDA PRO NV,NL0010696704,AMUND,Euronext Amsterdam
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris
ALPHA MOS,FR0013421286,ALM,Euronext Paris
ALSTOM,FR0010220475,ALO,Euronext Paris
ALTAMIR,FR0000053837,LTA,Euronext Paris
ALTAREA,FR0000033219,ALTA,Euronext Paris
ALTAREIT,FR0000039216,AREIT,Euronext Paris
ALTEN,FR0000071946,ATE,Euronext Paris
ALTERNUS ENERGY GR,IE00BLRPRP89,ALT,Euronext Growth Oslo
ALTHEORA,FR0000061244,ALORA,Euronext Growth Paris
ALTRI SGPS,PTALT0AE0002,ALTR,Euronext Lisbon
ALTUR INVEST.,FR0010395681,ALTUR,Euronext Paris
ALUMEXX N.V.,NL0012194724,ALX,Euronext Amsterdam
ALVEEN,FR0013253812,MLALV,Euronext Access Paris
AMA CORPORATION,GB00BNKGZC51,ALAMA,Euronext Growth Paris
AMATHEON AGRI,NL0010273694,MLAAH,Euronext Access Paris
AMG,NL0000888691,AMG,Euronext Amsterdam
AMOEBA,FR0011051598,ALMIB,Euronext Growth Paris
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris
AMSTERDAM COMMOD.,NL0000313286,ACOMO,Euronext Amsterdam
AMUNDI,FR0004125920,AMUN,Euronext Paris
ANDFJORD SALMON,NO0010829765,ANDF,Euronext Growth Oslo
ANTARES CERT,BE0003676872,ANT,Euronext Brussels
ANTIN INFRA PARTN,FR0014005AL0,ANTIN,Euronext Paris
APERAM,LU0569974404,APAM,Euronext Amsterdam
APTORUM GROUP CL A,KYG6096M1069,APM,Euronext Paris
AQUA BIO TECHNO,NO0010307135,ABT,Euronext Expand Oslo
AQUILA,FR0010340711,ALAQU,Euronext Growth Paris
ARAMIS GROUP,FR0014003U94,ARAMI,Euronext Paris
ARCADIS,NL0006237562,ARCAD,Euronext Amsterdam
ARCELORMITTAL SA,LU1598757687,MT,Euronext Amsterdam
ARCHOS,FR0000182479,ALJXR,Euronext Growth Paris
ARCTIC BIOSCIENCE,NO0010859580,ABS,Euronext Growth Oslo
ARCTIC FISH HOLDIN,NO0010917719,AFISH,Euronext Growth Oslo
ARCURE,FR0013398997,ALCUR,Euronext Growth Paris
ARDOIN ST AMAND A,FR0005057635,MLARD,Euronext Access Paris
ARDOIN ST AMAND B,FR0004070795,ARDO,Euronext Access Paris
ARGAN,FR0010481960,ARG,Euronext Paris
ARGENX SE,NL0010832176,ARGX,Euronext Brussels
ARGEO,NO0010946593,ARGEO,Euronext Growth Oslo
ARIMELIA ITG,ES0105601001,MLARI,Euronext Access Paris
ARKEMA,FR0010313833,AKE,Euronext Paris
AROCA DEL PINAR,ES0105486007,MLARO,Euronext Access Paris
ARTEA,FR0012185536,ARTE,Euronext Paris
ARTMARKET COM,FR0000074783,PRC,Euronext Paris
ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris
ASCENCIO,BE0003856730,ASC,Euronext Brussels
ASHLER ET MANSON,FR0012968485,MLAEM,Euronext Access Paris
ASIT,BE0974289218,ASIT,Euronext Brussels
ASM INTERNATIONAL,NL0000334118,ASM,Euronext Amsterdam
ASML HOLDING,NL0010273215,ASML,Euronext Amsterdam
ASR NEDERLAND,NL0011872643,ASRNL,Euronext Amsterdam
ASSYSTEM,FR0000074148,ASY,Euronext Paris
ASTROCAST,CH1122548808,ASTRO,Euronext Growth Oslo
ATARI,FR0010478248,ATA,Euronext Paris
ATEME,FR0011992700,ATEME,Euronext Paris
ATENOR,BE0003837540,ATEB,Euronext Brussels
ATOS,FR0000051732,ATO,Euronext Paris
ATRIUM EUR REALEST,JE00B3DCF752,ATRS,Euronext Amsterdam
AUBAY,FR0000063737,AUB,Euronext Paris
AUDACIA,FR00140059B5,ALAUD,Euronext Growth Paris
AUDIENCE LABS,FR0011896463,MLAUD,Euronext Access Paris
AUDIOVALLEY,BE0974334667,ALAVY,Euronext Growth Paris
AUGROS COSMETICS,FR0000061780,AUGR,Euronext Paris
AUPLATA MINING GR,FR0013410370,ALAMG,Euronext Growth Paris
AUREA,FR0000039232,AURE,Euronext Paris
AURES TECHNOLOGIES,FR0013183589,AURS,Euronext Paris
AURORA EIENDOM,NO0011032310,AURA,Euronext Growth Oslo
AVANTIUM,NL0012047823,AVTX,Euronext Amsterdam
AVENIR TELECOM,FR0013529815,AVT,Euronext Paris
AWILCO LNG,NO0010607971,ALNG,Euronext Expand Oslo
AXA,FR0000120628,CS,Euronext Paris
AXA NV22,FR00140074K5,CSNV,Euronext Paris
AXWAY SOFTWARE,FR0011040500,AXW,Euronext Paris
AYFIE GROUP,NO0010793243,AYFIE,Euronext Growth Oslo
AZ LEASING,IT0004812258,MLAZL,Euronext Access Paris
AZELIS GROUP,BE0974400328,AZE,Euronext Brussels
AZOREAN TECH,PTAZR0AM0006,MLAAT,Euronext Access Paris
B.COM.PORTUGUES,PTBCP0AM0015,BCP,Euronext Lisbon
B&S Group,LU1789205884,BSGR,Euronext Amsterdam
BAIKOWSKI,FR0013384369,ALBKK,Euronext Growth Paris
BAINS MER MONACO,MC0000031187,BAIN,Euronext Paris
BALTA GROUP,BE0974314461,BALTA,Euronext Brussels
BALTIC SEA PROP,NO0010810476,BALT,Euronext Growth Oslo
BALYO,FR0013258399,BALYO,Euronext Paris
BAM GROEP KON,NL0000337319,BAMNB,Euronext Amsterdam
BANIMMO A,BE0003870871,BANI,Euronext Brussels
BANK OF IR NC PREF,IE0000730790,DD7E,Euronext Dublin
BANK OF IR NCP STF,IE0000730808,DD7D,Euronext Dublin
BANK OF IRELAND GP,IE00BD1RP616,BIRG,Euronext Dublin
BARBARA BUI,FR0000062788,BUI,Euronext Paris
BARCO,BE0974362940,BAR,Euronext Brussels
BARINGS CORE SPAIN,ES0105362000,MLBAR,Euronext Access Paris
BARRAMUNDI GROUP,SGXZ33675836,BARRA,Euronext Growth Oslo
BASIC-FIT,NL0011872650,BFIT,Euronext Amsterdam
BASILIX CERT,BE0003674851,BAS,Euronext Brussels
BASSAC,FR0004023208,BASS,Euronext Paris
BASTIDE LE CONFORT,FR0000035370,BLC,Euronext Paris
BATLA MINERALS,FR0010436170,MLBAT,Euronext Access Paris
BD MULTI MEDIA,FR0000035305,ALBDM,Euronext Growth Paris
BE SEMICONDUCTOR,NL0012866412,BESI,Euronext Amsterdam
BEACONSMIND,CH0451123589,MLBMD,Euronext Access Paris
BEAULIEU-AV. CERT,BE0003661726,BEAB,Euronext Brussels
BEBO HEALTH,CH1148983609,MLBBO,Euronext Access Paris
BEFIMMO,BE0003678894,BEFB,Euronext Brussels
BEKAERT,BE0974258874,BEKB,Euronext Brussels
BEL,FR0000121857,FBEL,Euronext Paris
BELIEVE,FR0014003FE9,BLV,Euronext Paris
BELRECA,BE0020575115,BELR,Euronext Brussels
BELUGA,BE0003723377,BELU,Euronext Brussels
BENETEAU,FR0000035164,BEN,Euronext Paris
BENFICA,PTSLB0AM0010,SLBEN,Euronext Lisbon
BERGEN CARBON SOL,NO0010950249,BCS,Euronext Growth Oslo
BERNARD LOISEAU,FR0000066961,ALDBL,Euronext Growth Paris
BETER BED,NL0000339703,BBED,Euronext Amsterdam
BEVER HOLDING,NL0000285278,BEVER,Euronext Amsterdam
BIC,FR0000120966,BB,Euronext Paris
BIGBEN INTERACTIVE,FR0000074072,BIG,Euronext Paris
BILENDI,FR0004174233,ALBLD,Euronext Growth Paris
BIO-UV GROUP,FR0013345493,ALTUV,Euronext Growth Paris
BIOCARTIS,BE0974281132,BCART,Euronext Brussels
BIOCORP,FR0012788065,ALCOR,Euronext Growth Paris
BIOFISH HOLDING,NO0010955198,BFISH,Euronext Growth Oslo
BIOMERIEUX,FR0013280286,BIM,Euronext Paris
BIOPHYTIS,FR0012816825,ALBPS,Euronext Growth Paris
BIOPHYTIS BSA,FR0013507290,BPSBS,Euronext Growth Paris
BIOSYNEX,FR0011005933,ALBIO,Euronext Growth Paris
BIOTALYS,BE0974386188,BTLS,Euronext Brussels
BLACK SEA PROPERTY,NO0010755101,BSP,Euronext Growth Oslo
BLEECKER,FR0000062150,BLEE,Euronext Paris
BLUE SHARK POWER,FR0013340973,MLBSP,Euronext Access Paris
BLUELINEA,FR0011041011,ALBLU,Euronext Growth Paris
BLUELINEA BSA Y,FR0013480985,BLUBT,Euronext Growth Paris
BNP PARIBAS ACT.A,FR0000131104,BNP,Euronext Paris
BOA CONCEPT,FR0011365907,ALBOA,Euronext Growth Paris
BODY ONE,FR0010106039,MLONE,Euronext Access Paris
BOIRON,FR0000061129,BOI,Euronext Paris
BOLLORE,FR0000039299,BOL,Euronext Paris
BONDUELLE,FR0000063935,BON,Euronext Paris
BONE THERAPEUTICS,BE0974280126,BOTHE,Euronext Brussels
BOOSTHEAT,FR0011814938,ALBOO,Euronext Growth Paris
BOSKALIS WESTMIN,NL0000852580,BOKA,Euronext Amsterdam
BOURRELIER GROUP,FR0000054421,ALBOU,Euronext Growth Paris
BOURSE DIRECT,FR0000074254,BSD,Euronext Paris
BOUSSARD GAVAUDAN,GG00B1FQG453,BGHL,Euronext Amsterdam
BOUSSARD GHL GBP,GG00B39VMM07,BGHS,Euronext Amsterdam
BOUYGUES,FR0000120503,EN,Euronext Paris
BOUYGUES NV22,FR0014006U75,ENNV,Euronext Paris
BPOST,BE0974268972,BPOST,Euronext Brussels
BQUE NAT. BELGIQUE,BE0003008019,BNB,Euronext Brussels
BRABANK,NO0010167331,BRA,Euronext Growth Oslo
BREDERODE,LU1068091351,BREB,Euronext Brussels
BRIGADE M3 SHA,KYG137071075,BACE,Euronext Amsterdam
BRIGADE M3 UNITS,KYG137071158,BACEU,Euronext Amsterdam
BRILL KON,NL0000442523,BRILL,Euronext Amsterdam
BRUNEL INTERNAT,NL0010776944,BRNL,Euronext Amsterdam
BUREAU VERITAS,FR0006174348,BVI,Euronext Paris
BURELLE,FR0000061137,BUR,Euronext Paris
BW Epic Kosan,SGXZ80461361,BWEK,Euronext Growth Oslo
BW IDEOL,NO0010947385,BWIDL,Euronext Growth Oslo
CA TOULOUSE 31 CCI,FR0000045544,CAT31,Euronext Paris
CABASSE GROUP,FR0013530102,ALCG,Euronext Growth Paris
CAFOM,FR0010151589,CAFO,Euronext Paris
CAIRE,FR0010781377,MLAAE,Euronext Access Paris
CAIRN HOMES PLC,IE00BWY4ZF18,C5H,Euronext Dublin
CAMBI,NO0010078850,CAMBI,Euronext Growth Oslo
CAMBODGE NOM.,FR0000079659,CBDG,Euronext Paris
CAMPINE,BE0003825420,CAMB,Euronext Brussels
CANDELA INVEST,BE0974298300,CAND,Euronext Growth Brussels
CANOPY HOLDINGS,NO0010781560,CAN,Euronext Growth Oslo
CAPELLI,FR0012969095,CAPLI,Euronext Paris
CAPGEMINI,FR0000125338,CAP,Euronext Paris
CARBIOS,FR0011648716,ALCRB,Euronext Growth Paris
CARBON TRANSITION,NO0010778095,CARBN,Euronext Expand Oslo
CARE PROPERTY INV.,BE0974273055,CPINV,Euronext Brussels
CARMAT,FR0010907956,ALCAR,Euronext Growth Paris
CARMILA,FR0010828137,CARM,Euronext Paris
CARPINIENNE PART.,FR0000064156,CARP,Euronext Paris
CARREFOUR,FR0000120172,CA,Euronext Paris
CASINO GUICHARD,FR0000125585,CO,Euronext Paris
CAST,FR0000072894,CAS,Euronext Paris
CATANA GROUP,FR0010193052,CATG,Euronext Paris
CATERING INTL SCES,FR0000064446,CTRG,Euronext Paris
CATERPILLAR INC,US1491231015,CATR,Euronext Paris
CBI,FR0014007LW0,ALCBI,Euronext Growth Paris
CBO TERRITORIA,FR0010193979,CBOT,Euronext Paris
CECURITY.COM,FR0010717579,MLCEC,Euronext Access Paris
CEGEDIM,FR0000053506,CGM,Euronext Paris
CELLECTIS,FR0010425595,ALCLS,Euronext Growth Paris
CELYAD ONCOLOGY,BE0974260896,CYAD,Euronext Brussels
CENERGY,BE0974303357,CENER,Euronext Brussels
CERINNOV GROUP,FR0013178712,ALPCV,Euronext Growth Paris
CESAR,FR0013297165,ALCES,Euronext Growth Paris
CESYNT A SHARES,IT0005402034,MLCSA,Euronext Access Paris
CESYNT B SHARES,IT0005398877,MLCSB,Euronext Access Paris
CFE,BE0003883031,CFEB,Euronext Brussels
CFI,FR0000037475,CFI,Euronext Paris
CFM INDOSUEZWEALTH,MC0010000826,MLCFM,Euronext Access Paris
CGG,FR0013181864,CGG,Euronext Paris
CGG BSA 1,FR0013309614,CGGBS,Euronext Paris
CGG BSA 2,FR0013309622,CGGBT,Euronext Paris
CH.FER DEPARTEMENT,FR0000037871,MLCFD,Euronext Access Paris
CH.FER VAR GARD N.,FR0000051567,MLCVG,Euronext Access Paris
CHARGEURS,FR0000130692,CRI,Euronext Paris
CHAUSSERIA,FR0000060907,CHSR,Euronext Paris
CHEOPS TECHNOLOGY,FR0010447086,MLCHE,Euronext Access Paris
CHOICE,BE0974370026,MLTV,Euronext Access Brussels
CHRISTIAN DIOR,FR0000130403,CDI,Euronext Paris
CIBOX INTER A CTIV,FR0000054322,CIB,Euronext Paris
CIE BOIS SAUVAGE,BE0003592038,COMB,Euronext Brussels
CIE DU MONT BLANC,FR0000060428,MLCMB,Euronext Access Paris
CIOA,FR0012384907,MLCIO,Euronext Access Paris
CIRCA GROUP,NO0010917594,CIRCA,Euronext Growth Oslo
CLARANOVA,FR0013426004,CLA,Euronext Paris
CLASQUIN,FR0004152882,ALCLA,Euronext Growth Paris
CLEAN SEAS SEAFOOD,AU000000CSS3,CSS,Euronext Growth Oslo
CM.COM,NL0012747059,CMCOM,Euronext Amsterdam
CNIM GROUP,FR0000053399,COM,Euronext Paris
CNOVA,NL0010949392,CNV,Euronext Paris
CNP ASSURANCES,FR0000120222,CNP,Euronext Paris
CO.BR.HA,BE0003519270,COBH,Euronext Growth Brussels
CO2 CAPSOL,NO0010923121,CAPSL,Euronext Growth Oslo
Coca-ColaEuropacif,GB00BDCPN049,CCEP,Euronext Amsterdam
COFACE,FR0010667147,COFA,Euronext Paris
COFIDUR,FR0013257409,ALCOF,Euronext Growth Paris
COFINIMMO,BE0003593044,COFB,Euronext Brussels
COGELEC,FR0013335742,ALLEC,Euronext Growth Paris
COGRA,FR0011071570,ALCOG,Euronext Growth Paris
COHERIS,FR0004031763,COH,Euronext Paris
COIL,BE0160342011,ALCOI,Euronext Growth Paris
COLAS,FR0000121634,RE,Euronext Paris
COLIPAYS,FR0010959684,MLCLP,Euronext Access Paris
COLRUYT,BE0974256852,COLR,Euronext Brussels
COMPAGNIE ODET,FR0000062234,ODET,Euronext Paris
CONDOR TECHNOLOG,BE6252013725,MLMFI,Euronext Access Paris
CONDURIL,PTCDU0AE0003,CDU,Euronext Access Lisbon
CONSORT NT,FR0000077828,MLCNT,Euronext Access Paris
CONSTRUCTEURS BOIS,FR00140007I9,MLLCB,Euronext Access Paris
COPAM,PTCPA0AP0006,CPA,Euronext Access Lisbon
CORBION,NL0010583399,CRBN,Euronext Amsterdam
CORE LABORATORIES,NL0000200384,CLB,Euronext Amsterdam
COREP LIGHTING,FR0010035816,MLCOR,Euronext Access Paris
CORRE ENERGY B.V.,NL0015000DY3,CORRE,Euronext Growth Dublin
CORTICEIRA AMORIM,PTCOR0AE0006,COR,Euronext Lisbon
COURBET,FR0004998318,MLCOU,Euronext Access Paris
COURTOIS,FR0000065393,COUR,Euronext Paris
COVIVIO,FR0000064578,COV,Euronext Paris
COVIVIO HOTELS,FR0000060303,COVH,Euronext Paris
CRCAM ALP.PROV.CCI,FR0000044323,CRAP,Euronext Paris
CRCAM ATL.VEND.CCI,FR0000185506,CRAV,Euronext Paris
CRCAM BRIE PIC2CCI,FR0010483768,CRBP2,Euronext Paris
CRCAM ILLE-VIL.CCI,FR0000045213,CIV,Euronext Paris
CRCAM LANGUED CCI,FR0010461053,CRLA,Euronext Paris
CRCAM LOIRE HTE L.,FR0000045239,CRLO,Euronext Paris
CRCAM MORBIHAN CCI,FR0000045551,CMO,Euronext Paris
CRCAM NORD CCI,FR0000185514,CNF,Euronext Paris
CRCAM NORM.SEINE,FR0000044364,CCN,Euronext Paris
CRCAM PARIS ET IDF,FR0000045528,CAF,Euronext Paris
CRCAM SUD R.A.CCI,FR0000045346,CRSU,Euronext Paris
CRCAM TOURAINE CCI,FR0000045304,CRTO,Euronext Paris
CREDIT AGRICOLE,FR0000045072,ACA,Euronext Paris
CRESCENT,BE0003836534,OPTI,Euronext Brussels
CRH PLC 5PCCumPref,IE0001827264,DD8A,Euronext Dublin
CRH PLC 7PCCumPref,IE0001827603,DD8B,Euronext Dublin
CRH PLC ord,IE0001827041,CRG,Euronext Dublin
CROSSJECT,FR0011716265,ALCJ,Euronext Growth Paris
CROSSJECT BS,FR0014007HU2,CJBS,Euronext Growth Paris
CROSSWOOD,FR0000050395,CROS,Euronext Paris
CRYSTAL PEAK SHARE,KYG2581M1078,CPA1,Euronext Amsterdam
CRYSTAL PEAK WAR,KYG2581M1151,CPA1W,Euronext Amsterdam
CS GROUP.,FR0007317813,SX,Euronext Paris
CSAM HEALTH GROUP,NO0010894512,CSAM,Euronext Growth Oslo
CTAC,NL0000345577,CTAC,Euronext Amsterdam
CTC ORD SHARES,NL0015000DC9,CTCA1,Euronext Amsterdam
CTC TREAS SHARES,NL0015000F09,CTCT1,Euronext Amsterdam
CTC WARRANTS,NL0015000DD7,CTCW1,Euronext Amsterdam
CTP,NL00150006R6,CTPNV,Euronext Amsterdam
CTT CORREIOS PORT,PTCTT0AM0001,CTT,Euronext Lisbon
CUMULEX,BE0003463685,CLEX,Euronext Brussels
CYBERGUN,FR0014004QR6,ALCYB,Euronext Growth Paris
CYBERGUN BSA 2,FR0013340817,CYBBT,Euronext Growth Paris
CYBERGUN BSA K1,FR0013507977,CYBK1,Euronext Growth Paris
CYBERGUN BSA K2A,FR0013507985,CYBKA,Euronext Growth Paris
CYBERGUN BSA K2B,FR0013508009,CYBKB,Euronext Growth Paris
CYVIZ,NO0010015175,CYVIZ,Euronext Growth Oslo
